ticker,index_ticker,comment
MET,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MGM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MHK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MKC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MKTX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MLM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MMC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MMM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MNST,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MOS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MPC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MRK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MRO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MSCI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MSFT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MSI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MTB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MTD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MU,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MXIM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MYL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NBL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NCLH,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NDAQ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NEE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NEM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NFLX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
